
MINUTE: Average=271.84676459636245, Max=272.0284314032537, Min=271.62258140770285
MINUTE: Average=271.81843861366497, Max=271.9705996939289, Min=271.6226320640559
MINUTE: Average=271.5325816882679, Max=271.6217586808175, Min=271.44046979756774
MINUTE: Average=271.67414605238275, Max=271.7527819586891, Min=271.5353253980915
MINUTE: Average=271.60360968894224, Max=271.7354041203972, Min=271.4724441496307
MINUTE: Average=271.5594920291757, Max=271.7306941951361, Min=271.36636325398115
MINUTE: Average=271.7233770377397, Max=271.8403370548134, Min=271.58550749208007
MINUTE: Average=271.6636626587311, Max=271.8268805154876, Min=271.5321270150215
MINUTE: Average=271.65164776928134, Max=271.7682639347806, Min=271.55435373147014
MINUTE: Average=271.5480667710925, Max=271.7366238609466, Min=271.43108326115504
MINUTE: Average=271.2878527398415, Max=271.504470629537, Min=271.01364053031284
MINUTE: Average=271.33581060867243, Max=271.4952345152775, Min=271.12869173004924
MINUTE: Average=271.3756897773729, Max=271.5303513399041, Min=271.19271776251526
MINUTE: Average=271.35936923396196, Max=271.4945756952419, Min=271.18037776046265
MINUTE: Average=271.24304589162125, Max=271.3514476534913, Min=271.1342487637294
MINUTE: Average=271.3828715578237, Max=271.50275693804053, Min=271.2377699884567
MINUTE: Average=271.4115486135263, Max=271.53366149104863, Min=271.273622837537
MINUTE: Average=271.5509813789403, Max=271.7321079046826, Min=271.40953804105385
MINUTE: Average=271.5965058143957, Max=271.78377774542747, Min=271.4385708711521
MINUTE: Average=271.7955645524558, Max=271.91327296653674, Min=271.69141548452444
MINUTE: Average=271.4832588350241, Max=271.65268382447687, Min=271.27630969935404
MINUTE: Average=271.43850448456124, Max=271.5037567639214, Min=271.3391710617645
MINUTE: Average=271.3231228580033, Max=271.461369896954, Min=271.16599943409676
MINUTE: Average=271.0482092394247, Max=271.2634494052072, Min=270.8968937106714
MINUTE: Average=270.99345606498423, Max=271.1103915932653, Min=270.8138598769008
MINUTE: Average=270.9488122567123, Max=271.0630061973177, Min=270.82477858017546
MINUTE: Average=270.87918093181855, Max=270.96599343990573, Min=270.75874381007685
MINUTE: Average=270.97465703443106, Max=271.1151638404231, Min=270.8659681214245
MINUTE: Average=271.08833286029613, Max=271.20235466349885, Min=270.9298117814199
MINUTE: Average=271.00355705095114, Max=271.16013893816165, Min=270.7879949441245
MINUTE: Average=271.0662199128284, Max=271.1873928620541, Min=270.9663076555906
