
MINUTE: Average=245.8571308120917, Max=246.01111706633952, Min=245.7016364902931
MINUTE: Average=245.65706392396532, Max=245.80412375795808, Min=245.41932466896213
MINUTE: Average=245.36451196174588, Max=245.49210518796204, Min=245.1791493474924
MINUTE: Average=245.21143251659785, Max=245.3267292372413, Min=245.06550120609876
MINUTE: Average=245.33328765015452, Max=245.54708140306553, Min=245.20883035842235
MINUTE: Average=245.15370303473532, Max=245.25898507793366, Min=244.98601506582148
MINUTE: Average=245.03300483385175, Max=245.21433834743848, Min=244.8884551170478
MINUTE: Average=245.0592840302434, Max=245.18019370874762, Min=244.94851858555754
MINUTE: Average=245.08998713466718, Max=245.1735230824903, Min=244.98439416743017
MINUTE: Average=245.25548214739965, Max=245.4108633305804, Min=244.99695612976805
MINUTE: Average=245.0570021481942, Max=245.19052963263073, Min=244.84817832626436
MINUTE: Average=244.99803724571314, Max=245.18193886956746, Min=244.80769184003992
MINUTE: Average=245.03207285294764, Max=245.1627083075976, Min=244.88207199768468
MINUTE: Average=245.06899956859007, Max=245.1749299920216, Min=244.89191126116603
MINUTE: Average=245.24594347256146, Max=245.42837872105258, Min=245.05124930434863
MINUTE: Average=245.1395132078201, Max=245.3882185878394, Min=244.92990785935814
MINUTE: Average=245.00688500827638, Max=245.16881125323374, Min=244.9174488153122
MINUTE: Average=245.37078374535432, Max=245.67106035488476, Min=245.10404954772648
MINUTE: Average=245.45443718029412, Max=245.64443315009473, Min=245.32444294507854
MINUTE: Average=245.45834691336788, Max=245.53275891119213, Min=245.36149293204218
MINUTE: Average=245.37087754391695, Max=245.4977051004877, Min=245.26091564973305
MINUTE: Average=245.41113778269047, Max=245.4702282659599, Min=245.33075877656069
MINUTE: Average=245.34354255332542, Max=245.48621439856487, Min=245.1259779268151
MINUTE: Average=245.25793785158555, Max=245.36123178677065, Min=245.15300741012413
MINUTE: Average=245.24339797503595, Max=245.352374246151, Min=245.11564050293126
MINUTE: Average=245.1737217870144, Max=245.30148560881548, Min=245.0825928825891
MINUTE: Average=245.0297336343498, Max=245.13589801503738, Min=244.91970904928814
MINUTE: Average=245.19381054007297, Max=245.3732735942221, Min=245.02681416749806
MINUTE: Average=245.04826286337754, Max=245.3601162019536, Min=244.80859953716845
MINUTE: Average=244.8642482996635, Max=244.941386792658, Min=244.76089395648384
MINUTE: Average=244.8066323245642, Max=244.9916802498493, Min=244.64094783007744
MINUTE: Average=244.46410395726696, Max=244.72918409172945, Min=244.26199069934563
MINUTE: Average=244.36590235125595, Max=244.43935754042792, Min=244.27577390643302
MINUTE: Average=244.3551011144177, Max=244.5297321285402, Min=244.22366664202158
MINUTE: Average=244.7986283927277, Max=245.16574505653233, Min=244.49752504670136
MINUTE: Average=245.45419863030273, Max=245.65995740434408, Min=245.15975233228056
MINUTE: Average=245.54838510590133, Max=245.69941199990342, Min=245.39851077123316
MINUTE: Average=245.40789994361577, Max=245.52762621368962, Min=245.31174767941994
MINUTE: Average=245.28722897062443, Max=245.4725728405086, Min=245.15495074815234
MINUTE: Average=245.02148660018008, Max=245.22552306249324, Min=244.7099179085512
MINUTE: Average=244.71149219341729, Max=244.84593832307388, Min=244.5796522564228
MINUTE: Average=244.81635276515163, Max=244.9987130784788, Min=244.69821687679305
MINUTE: Average=244.79912869635686, Max=245.06477843817953, Min=244.6073028182688
MINUTE: Average=244.67565068084144, Max=244.84352850133658, Min=244.53783744622035
MINUTE: Average=244.92155566868902, Max=245.09277148376586, Min=244.67937700293015
MINUTE: Average=244.8193907193989, Max=244.99798297159626, Min=244.6264479436979
MINUTE: Average=244.7703222107212, Max=244.90204092537917, Min=244.6663844521838
MINUTE: Average=244.74091136324284, Max=244.85630305512967, Min=244.630921397204
MINUTE: Average=244.82772128977413, Max=244.90773975822475, Min=244.69451882463886
MINUTE: Average=244.91062861903129, Max=245.0236469385682, Min=244.82330851505236
MINUTE: Average=244.93705779193834, Max=245.13682107774727, Min=244.77947731928433
MINUTE: Average=244.89272810109907, Max=245.09350284844132, Min=244.6738783435908
MINUTE: Average=244.97721159382303, Max=245.1922503643038, Min=244.7068265742139
MINUTE: Average=245.34980302027816, Max=245.4829068826073, Min=245.14531153263735
MINUTE: Average=245.4682584508056, Max=245.6354092550207, Min=245.33780974772384
MINUTE: Average=245.52491601192986, Max=245.69136061869108, Min=245.41424538825154
MINUTE: Average=245.8940542299066, Max=246.09059976353694, Min=245.65742559553357
MINUTE: Average=245.96106310018612, Max=246.07896950571708, Min=245.83902749071675
MINUTE: Average=245.9506404314908, Max=246.13780107058545, Min=245.83047507646467
MINUTE: Average=246.1536100462702, Max=246.31060059354064, Min=245.9699032455846
MINUTE: Average=246.25077447842867, Max=246.3983672051687, Min=245.9709273041432
MINUTE: Average=245.87390804074892, Max=246.0206729452968, Min=245.66822571542252
MINUTE: Average=245.7851435445529, Max=245.88953171368678, Min=245.66422401946508
MINUTE: Average=245.705832959609, Max=245.95688536982746, Min=245.46426614945605
MINUTE: Average=245.35123026064508, Max=245.5538050990789, Min=245.16668198978624
MINUTE: Average=245.0860120605321, Max=245.3793571105052, Min=244.87411186359785
MINUTE: Average=245.3015683267927, Max=245.46913157964215, Min=244.9407674268686
MINUTE: Average=245.2920378144787, Max=245.44370381437463, Min=245.1462151252363
MINUTE: Average=245.44506318142203, Max=245.64522622947953, Min=245.24362956622176
MINUTE: Average=245.6009780312151, Max=245.81933796870152, Min=245.4656081540334
MINUTE: Average=245.71778918887492, Max=245.8440509496646, Min=245.6111626459738
MINUTE: Average=245.52024245097564, Max=245.62855587225985, Min=245.4128010526118
MINUTE: Average=245.5554081174051, Max=245.69239168953433, Min=245.47965783977662
MINUTE: Average=245.38995633861404, Max=245.6365899799965, Min=245.1672422395064
MINUTE: Average=245.20140530125823, Max=245.40364340058667, Min=245.10067967352163
MINUTE: Average=245.25562900000324, Max=245.47413494540302, Min=245.02759940703697
MINUTE: Average=245.1071123520449, Max=245.25289058524382, Min=244.95257531924148
MINUTE: Average=245.12832454437378, Max=245.24657185882575, Min=244.98768876455017
MINUTE: Average=245.08102755658976, Max=245.22775534879432, Min=244.95391750720412
MINUTE: Average=245.03653171928448, Max=245.2863813903444, Min=244.75270924414167
MINUTE: Average=244.82624418648035, Max=245.0075444872561, Min=244.69754234033687
MINUTE: Average=244.95007882501528, Max=245.13767848144238, Min=244.7856699755367
MINUTE: Average=245.01846445512146, Max=245.13573177240175, Min=244.93846487218673
MINUTE: Average=244.97116713895448, Max=245.09508717451672, Min=244.8786892905704
MINUTE: Average=244.91819055316748, Max=245.2405091651726, Min=244.70915053685843
MINUTE: Average=245.15372387392785, Max=245.2615817623711, Min=245.01649377821926
MINUTE: Average=245.15062838625377, Max=245.28146849358805, Min=245.00361027675024
MINUTE: Average=244.91360167436878, Max=245.14851205711776, Min=244.7840391276259
MINUTE: Average=245.01666496485868, Max=245.18567749464347, Min=244.85489418785997
MINUTE: Average=245.10813926025102, Max=245.24551511153598, Min=244.9961350993949
MINUTE: Average=245.18238029953255, Max=245.38610990596788, Min=245.02519016621343
MINUTE: Average=245.08256549763425, Max=245.2123298554378, Min=244.91599599652062
MINUTE: Average=244.8914823751489, Max=245.03991741741228, Min=244.72450899452494
MINUTE: Average=244.7883924008843, Max=245.01888841393207, Min=244.59332429837033
MINUTE: Average=244.7107591578619, Max=244.8439590134178, Min=244.59328512326755
MINUTE: Average=244.69746689057894, Max=244.88846040491893, Min=244.56855113755498
MINUTE: Average=244.61546187316944, Max=244.7180409010443, Min=244.48047997541164
MINUTE: Average=244.2439783757053, Max=244.4891834113229, Min=243.94541413552167
MINUTE: Average=244.0073056817101, Max=244.17970515997615, Min=243.87349379749313
MINUTE: Average=243.89705833583827, Max=243.9860421314302, Min=243.79908791060984
MINUTE: Average=243.83749592692877, Max=243.92203258967024, Min=243.72689133037247
MINUTE: Average=243.91049278401803, Max=243.9973538694063, Min=243.79802048242314
MINUTE: Average=243.86222759867073, Max=243.97355909868577, Min=243.70696606719582
MINUTE: Average=243.62085427338246, Max=243.7662946495039, Min=243.50294779480058
MINUTE: Average=243.84743730474426, Max=243.97412458349132, Min=243.7079361529306
MINUTE: Average=243.9122713492462, Max=244.02041230888628, Min=243.8171635741522
MINUTE: Average=244.11174111011047, Max=244.35865270773576, Min=243.8337299714611
MINUTE: Average=244.241856328102, Max=244.4144341162266, Min=243.9818458389659
MINUTE: Average=244.1962639413574, Max=244.27488344167014, Min=244.08942611553599
MINUTE: Average=244.00411335826672, Max=244.2583927191336, Min=243.72075109839363
MINUTE: Average=243.9745988757795, Max=244.1556258981068, Min=243.81691901768704
MINUTE: Average=244.1063565398202, Max=244.232402230664, Min=243.8582824355878
MINUTE: Average=244.1092718792402, Max=244.253873473846, Min=243.94290377071385
MINUTE: Average=243.93546054539723, Max=244.14583283910576, Min=243.79060857351624
MINUTE: Average=243.8866396207727, Max=244.05596433322134, Min=243.771380204238
MINUTE: Average=243.69115301390477, Max=243.8620133350666, Min=243.42735477454065
MINUTE: Average=243.26571635647528, Max=243.41688969020123, Min=243.1379722717048
MINUTE: Average=243.12997868870067, Max=243.27800959841937, Min=242.96357568719418
MINUTE: Average=242.73334264575627, Max=242.99224216710843, Min=242.60522806213822
MINUTE: Average=242.86613858174505, Max=242.95872694385895, Min=242.77767527105067
MINUTE: Average=242.71933450654265, Max=242.9003715675076, Min=242.61436839407708
MINUTE: Average=242.81142906894897, Max=243.05267643956665, Min=242.67165912777216
MINUTE: Average=243.02578848756377, Max=243.15116560791458, Min=242.90638997422616
MINUTE: Average=242.90379375578732, Max=243.0628649268352, Min=242.7942682097718
