
MINUTE: Average=342.20535337073693, Max=342.31703356680896, Min=342.02281057047423
MINUTE: Average=342.0531165515884, Max=342.1990541330039, Min=341.89809494942796
MINUTE: Average=342.131329828044, Max=342.25940347734047, Min=342.0200416911749
MINUTE: Average=342.0785071773675, Max=342.2050915897992, Min=341.9892209553634
MINUTE: Average=342.3018741987101, Max=342.4172444748916, Min=342.0339384437243
MINUTE: Average=342.3116543833182, Max=342.4080905237919, Min=342.22479601250205
MINUTE: Average=342.30607708847486, Max=342.39322540279346, Min=342.2166023919547
MINUTE: Average=342.17334807358776, Max=342.325369784428, Min=342.0330715098456
MINUTE: Average=341.8206988847713, Max=342.0895070478469, Min=341.5622634087835
MINUTE: Average=341.65872890791127, Max=341.8419642280268, Min=341.49657375272733
MINUTE: Average=341.4158035804425, Max=341.5809406670278, Min=341.26985879108963
MINUTE: Average=341.3756304506091, Max=341.49560192745423, Min=341.20315764422804
MINUTE: Average=341.50814339455644, Max=341.6989639608531, Min=341.37087225858306
MINUTE: Average=341.65930390267823, Max=341.7562516877896, Min=341.56845483931886
MINUTE: Average=341.6355666489559, Max=341.74763713130903, Min=341.4972610128829
MINUTE: Average=341.43111258319885, Max=341.6766657565734, Min=341.17245337461594
MINUTE: Average=341.33333929726984, Max=341.4784934084219, Min=341.17957742475096
MINUTE: Average=341.33416604671123, Max=341.42055561156656, Min=341.2088890320728
MINUTE: Average=341.1524874945468, Max=341.3281939923392, Min=341.0141491300327
MINUTE: Average=341.1424443582727, Max=341.2987184998724, Min=341.0087951412659
MINUTE: Average=341.0715248626519, Max=341.1885825369391, Min=340.94739885214733
MINUTE: Average=340.87508881720356, Max=341.0193886559463, Min=340.65554333060953
MINUTE: Average=340.7909116036413, Max=340.95415599956686, Min=340.6144562652043
MINUTE: Average=340.87083243146947, Max=341.01990554942495, Min=340.71858417929997
MINUTE: Average=340.71017331956375, Max=340.9154449559841, Min=340.5477327129393
MINUTE: Average=340.63645280864995, Max=340.77612358063976, Min=340.47692349953905
MINUTE: Average=340.602733923831, Max=340.8298299229283, Min=340.387309460021
MINUTE: Average=340.78186141921464, Max=340.93879115571633, Min=340.6829607584179
MINUTE: Average=341.0779528939763, Max=341.2184517894247, Min=340.9182424554381
MINUTE: Average=341.10132676589853, Max=341.2392282130309, Min=340.93609863040876
MINUTE: Average=341.1784423626244, Max=341.3332032504829, Min=340.8922621621757
MINUTE: Average=341.3433669292334, Max=341.47072540648134, Min=341.20406468529063
MINUTE: Average=341.33193640151217, Max=341.4435213661989, Min=341.2110212205152
MINUTE: Average=341.2115962961349, Max=341.3750379756129, Min=341.04632904323404
MINUTE: Average=341.2745213969893, Max=341.4640706219373, Min=341.05903211492887
MINUTE: Average=341.4189000430511, Max=341.5409514917282, Min=341.29757499905253
MINUTE: Average=341.1301670573902, Max=341.34978892258425, Min=340.8433394683361
MINUTE: Average=340.76310465024017, Max=340.8996213412933, Min=340.6215337749614
MINUTE: Average=340.5086943695705, Max=340.79553471775216, Min=340.1615565765772
MINUTE: Average=339.96486938266685, Max=340.17120404899913, Min=339.7261837922659
MINUTE: Average=339.7447812551064, Max=339.85528854659583, Min=339.6126823801401
MINUTE: Average=339.8593784849833, Max=339.9719012753068, Min=339.75073785300896
MINUTE: Average=339.85458402162834, Max=339.98791267086597, Min=339.7418689432728
MINUTE: Average=340.1186032429252, Max=340.24573058423437, Min=339.9828498983185
MINUTE: Average=340.1212139131702, Max=340.27390219355465, Min=339.97787636702645
MINUTE: Average=340.01813131110754, Max=340.2061303137567, Min=339.78826232903043
MINUTE: Average=339.72908993530996, Max=339.9662683763906, Min=339.53222248039884
MINUTE: Average=339.6061490883493, Max=339.776396831557, Min=339.4695682737726
MINUTE: Average=339.3551971839289, Max=339.50386524642613, Min=339.188629489465
MINUTE: Average=339.1806385685232, Max=339.3124794672309, Min=339.04681922298545
MINUTE: Average=339.02034688322993, Max=339.20880446610715, Min=338.8721451203297
MINUTE: Average=338.57707839443395, Max=338.82267667361015, Min=338.2552656016063
MINUTE: Average=338.15943278645864, Max=338.3206103925006, Min=338.0286831362117
MINUTE: Average=338.13845980586774, Max=338.32648866333176, Min=338.000440128609
MINUTE: Average=337.95614936964364, Max=338.05927535734446, Min=337.8471049213433
MINUTE: Average=338.2422712962598, Max=338.4544735013734, Min=337.9639533761055
MINUTE: Average=338.4569862590172, Max=338.5578133769757, Min=338.37096745452567
MINUTE: Average=338.4047978507099, Max=338.506304734436, Min=338.2386421127239
MINUTE: Average=338.379500600888, Max=338.6026769525095, Min=338.2864116302189
MINUTE: Average=338.61263766594044, Max=338.76411778995373, Min=338.46166404703183
MINUTE: Average=338.92144227275725, Max=339.03832472877656, Min=338.8066789902835
MINUTE: Average=338.86035494744243, Max=339.0016970334108, Min=338.73466824243536
MINUTE: Average=338.8407624812499, Max=338.9528251974602, Min=338.7158726773936
MINUTE: Average=338.8103104089744, Max=338.9106871557529, Min=338.67794186638946
MINUTE: Average=338.8092668773459, Max=339.0187099723596, Min=338.6033024005866
MINUTE: Average=338.7832034338132, Max=338.8942773166166, Min=338.6214233523763
MINUTE: Average=338.88423788359626, Max=339.02180504833666, Min=338.72820963183847
MINUTE: Average=338.7541365207699, Max=338.89303723443896, Min=338.61890790514644
MINUTE: Average=338.7641868642405, Max=338.9220507288077, Min=338.6097915842156
MINUTE: Average=338.8435832275819, Max=339.1035494933693, Min=338.57863099884935
MINUTE: Average=338.94957413515084, Max=339.1203255968953, Min=338.7959529638623
MINUTE: Average=338.95644326438867, Max=339.0831280743118, Min=338.8465016412163
MINUTE: Average=339.0923057276539, Max=339.42525190939864, Min=338.8761385065174
MINUTE: Average=339.3531602553965, Max=339.5430945562794, Min=339.23486163566935
MINUTE: Average=339.6278220050594, Max=339.86044233917926, Min=339.4466320551723
MINUTE: Average=339.87420293028464, Max=339.9734837895153, Min=339.74893955916696
MINUTE: Average=339.86470971996334, Max=340.0295007312967, Min=339.7423007424569
MINUTE: Average=340.41546748972235, Max=340.7971923488128, Min=339.98227970247706
MINUTE: Average=340.800543633675, Max=340.9371419419332, Min=340.72333641497914
MINUTE: Average=340.7268235375608, Max=340.9413313054051, Min=340.49659686126444
MINUTE: Average=340.60182579022523, Max=340.72212381978096, Min=340.4844022737638
MINUTE: Average=340.6802996709463, Max=340.7934393220982, Min=340.5587264691443
MINUTE: Average=340.7261714625555, Max=340.97701079178086, Min=340.5063437800871
MINUTE: Average=340.602810944484, Max=340.73990807786794, Min=340.4435985671674
MINUTE: Average=340.6592041232606, Max=340.77904751780216, Min=340.4989267841557
MINUTE: Average=340.78432943996876, Max=340.9998553662483, Min=340.62458880088866
MINUTE: Average=340.9656238797865, Max=341.0815085241204, Min=340.787071009763
MINUTE: Average=340.7469956165378, Max=340.97730721237525, Min=340.5966343467669
MINUTE: Average=340.78611315151767, Max=341.04622916816896, Min=340.5636182131964
MINUTE: Average=341.19439058438655, Max=341.3351398300236, Min=340.92564260799946
MINUTE: Average=340.97434981960345, Max=341.07613009744097, Min=340.85684484602825
MINUTE: Average=340.91734373709073, Max=341.03998253147245, Min=340.81460257850046
MINUTE: Average=341.21829536101006, Max=341.44086871322395, Min=340.8691595565834
MINUTE: Average=341.27027945867604, Max=341.43242526439946, Min=341.08169945323897
MINUTE: Average=341.2671569933419, Max=341.5234676465951, Min=341.06506782937265
MINUTE: Average=341.57852319360586, Max=341.7468236704323, Min=341.3881799083569
MINUTE: Average=341.52432060689046, Max=341.643363382191, Min=341.4027810632629
MINUTE: Average=341.56808359179155, Max=341.65795606276896, Min=341.4633072631362
MINUTE: Average=341.45282702217224, Max=341.7267375023417, Min=341.2793022587406
MINUTE: Average=341.5086486977761, Max=341.9444582677643, Min=341.30190203518356
MINUTE: Average=341.8379330704084, Max=342.07891428400126, Min=341.6626080531042
MINUTE: Average=341.65940430291835, Max=341.86891446399426, Min=341.5035881618095
MINUTE: Average=341.8390226213777, Max=341.98476860081684, Min=341.6377159657224
MINUTE: Average=341.9988684315789, Max=342.0865492300942, Min=341.89825568555926
MINUTE: Average=342.03002928702125, Max=342.17639582162803, Min=341.90042358021213
MINUTE: Average=342.049190963214, Max=342.1875652109292, Min=341.9222416163001
MINUTE: Average=341.77245733398365, Max=342.1010887411411, Min=341.5931175369967
MINUTE: Average=341.7179178237948, Max=341.85753925705035, Min=341.6016060084559
MINUTE: Average=341.7709367699851, Max=341.89596883356694, Min=341.65037106335046
MINUTE: Average=341.7142440885999, Max=341.8520404428087, Min=341.5794149734759
MINUTE: Average=341.670498097589, Max=341.8445830972156, Min=341.45235550415805
MINUTE: Average=341.40627721899097, Max=341.4936853476025, Min=341.2684129832883
MINUTE: Average=341.46929249314104, Max=341.5528420230652, Min=341.38450248544757
MINUTE: Average=341.44485124325524, Max=341.59529714811305, Min=341.3008488086847
MINUTE: Average=341.2380474411129, Max=341.3604183665427, Min=341.12529300439815
MINUTE: Average=341.08519017731317, Max=341.2333823553991, Min=340.8979022712107
