

MINUTE: Average=65.91323093498161, Max=66.03009374634007, Min=65.77772559049724
MINUTE: Average=65.76656725850518, Max=65.87663359100812, Min=65.62125976418727
MINUTE: Average=65.74523200355651, Max=65.9028571339377, Min=65.60305138202826
MINUTE: Average=65.9175948606701, Max=66.15893320218575, Min=65.7648224743857
MINUTE: Average=66.02284540451981, Max=66.13468308524044, Min=65.88605382003281
MINUTE: Average=66.08424340555017, Max=66.32300763264887, Min=65.85480130513561
MINUTE: Average=66.36598417392473, Max=66.50788772652636, Min=66.19367735121895
MINUTE: Average=66.34652886861899, Max=66.45277774605186, Min=66.2275295720146
MINUTE: Average=66.45761186517312, Max=66.58409495355666, Min=66.25878985737029
MINUTE: Average=66.40465621666581, Max=66.50565063603271, Min=66.30356306064384
MINUTE: Average=66.25635466089243, Max=66.47154618079908, Min=66.12816987916938
MINUTE: Average=66.41189719173347, Max=66.60360955393581, Min=66.272973591625
MINUTE: Average=66.53083746406564, Max=66.67780017493627, Min=66.32302932445486
MINUTE: Average=66.4933405644751, Max=66.63899014366066, Min=66.35818309409098
MINUTE: Average=66.29784445453573, Max=66.47834935253914, Min=66.13777295583996
MINUTE: Average=66.27643877993141, Max=66.43167444468466, Min=66.10623841422422
MINUTE: Average=66.22843813958391, Max=66.3889006268511, Min=66.10475686186395
MINUTE: Average=65.93867187778359, Max=66.21301117561873, Min=65.79904417590002
MINUTE: Average=65.96752918085821, Max=66.07631844356284, Min=65.83963117097488
MINUTE: Average=65.81699263129559, Max=65.9239159764795, Min=65.70158437085321
MINUTE: Average=66.22226234085558, Max=66.44994963181622, Min=65.8660713450757
MINUTE: Average=66.22783496760681, Max=66.41491791795028, Min=65.91553202206728
MINUTE: Average=65.94417879896372, Max=66.05708775561412, Min=65.8517873178925
MINUTE: Average=65.78003205267431, Max=65.93375817781265, Min=65.65090927755041
MINUTE: Average=65.77587281239764, Max=65.95978336280723, Min=65.62718577609544
MINUTE: Average=65.77023857582245, Max=65.97855927678664, Min=65.6260826843778
MINUTE: Average=65.96335551771162, Max=66.16363649567523, Min=65.79238989722076
MINUTE: Average=65.92537594138444, Max=66.10364946789346, Min=65.7456853978498
MINUTE: Average=66.15796907980548, Max=66.35146968847005, Min=65.97166800486693
MINUTE: Average=66.2678232490097, Max=66.38428381085781, Min=66.13113545419681
MINUTE: Average=66.12861372938384, Max=66.28064690293817, Min=66.0404117571617
MINUTE: Average=66.24634001101882, Max=66.43443049622603, Min=66.04343382930446
MINUTE: Average=66.37832437216066, Max=66.55747381679053, Min=66.28217738973494
MINUTE: Average=66.40747947494671, Max=66.59110898807931, Min=66.25926518309296
MINUTE: Average=66.56658940739807, Max=66.74825853888677, Min=66.3878855727968
MINUTE: Average=66.40687793595124, Max=66.71925265521224, Min=66.10857994243555
MINUTE: Average=66.07379648686259, Max=66.21404620680386, Min=65.94466872387807
MINUTE: Average=66.06656295987958, Max=66.29574325627483, Min=65.94062349180177
MINUTE: Average=66.13497357286562, Max=66.30036177936006, Min=65.94804218360585
MINUTE: Average=65.92619430452152, Max=66.059074241988, Min=65.74607901842047
MINUTE: Average=65.67903054944388, Max=65.90977951110465, Min=65.45808649367638
MINUTE: Average=65.57124382901924, Max=65.70499785566592, Min=65.45938684964726
MINUTE: Average=65.92443121735494, Max=66.07831623770527, Min=65.70400926444415
MINUTE: Average=66.10511780998132, Max=66.20997282031382, Min=66.00471713371915
MINUTE: Average=66.07367610014217, Max=66.26523530184937, Min=65.90242444013802
MINUTE: Average=66.08679804173482, Max=66.25353495199893, Min=65.91375474126018
MINUTE: Average=65.83118479826845, Max=65.95433847663591, Min=65.6832688234438
MINUTE: Average=65.93995059777461, Max=66.08218992534029, Min=65.7794250367276
MINUTE: Average=65.9347741056135, Max=66.02590920980685, Min=65.83895036360494
MINUTE: Average=66.17613741585322, Max=66.33868350520595, Min=65.95861524767723
MINUTE: Average=66.33257054606422, Max=66.42018343022065, Min=66.20111936879962
MINUTE: Average=66.16938189966667, Max=66.36669530925427, Min=66.03239850220257
MINUTE: Average=66.20872881859461, Max=66.5093250372645, Min=66.09180105898204
MINUTE: Average=66.71916105897067, Max=66.86260022342357, Min=66.50211326009469
MINUTE: Average=66.98374662025145, Max=67.16402137427386, Min=66.7768490334179
MINUTE: Average=67.21009428005462, Max=67.36180337804905, Min=66.9900520499755
MINUTE: Average=67.0453884723733, Max=67.17915915678243, Min=66.89932236476587
MINUTE: Average=67.04427798807575, Max=67.1531084404676, Min=66.94094744746158
MINUTE: Average=67.11477907525128, Max=67.18863794739111, Min=67.05494223673854
MINUTE: Average=67.20866488793978, Max=67.39836743638759, Min=67.02843973640914
MINUTE: Average=67.50498354398836, Max=67.66587410126544, Min=67.35680970818912
MINUTE: Average=67.73897986622376, Max=67.96566671226527, Min=67.58324257864506
MINUTE: Average=67.81851037325552, Max=68.07453168213083, Min=67.56306067260824
MINUTE: Average=67.53822009109788, Max=67.76020864368878, Min=67.34302099293707
MINUTE: Average=67.24505339225884, Max=67.40963664701916, Min=67.13422246282661
MINUTE: Average=67.1653598965024, Max=67.2743598878802, Min=66.88218204054962
MINUTE: Average=67.04733471712329, Max=67.15880937392058, Min=66.94450617353313
MINUTE: Average=66.99220098221194, Max=67.0842380453405, Min=66.90246714628715
MINUTE: Average=67.01691336600697, Max=67.11689627274885, Min=66.92742282611184
MINUTE: Average=67.2004048144803, Max=67.33964394261879, Min=67.06092038486024
MINUTE: Average=66.95698971094743, Max=67.31514665214061, Min=66.75359998097274
MINUTE: Average=66.650675732802, Max=66.9189608466847, Min=66.44178973935887
MINUTE: Average=66.37749294635731, Max=66.4721743057083, Min=66.25622480491072
MINUTE: Average=66.3883765569915, Max=66.61390892638946, Min=66.21410284916982
MINUTE: Average=66.4984501524831, Max=66.68801337183373, Min=66.31777487591506
MINUTE: Average=66.51412162933029, Max=66.75727251269794, Min=66.34006544221954
MINUTE: Average=66.71663183455601, Max=66.84831590994449, Min=66.60030927578997
MINUTE: Average=66.88123966134249, Max=67.03881025253813, Min=66.6756747677865
MINUTE: Average=67.13398372715054, Max=67.24510799291512, Min=67.04272808288275
MINUTE: Average=67.19115875178015, Max=67.36163610916249, Min=67.05951118912446
MINUTE: Average=67.31845894699276, Max=67.42201498590167, Min=67.23215813452627
MINUTE: Average=66.94543567002111, Max=67.30151303884831, Min=66.57379826065485
MINUTE: Average=66.45770038631942, Max=66.58168632753346, Min=66.31844576829502
MINUTE: Average=66.73681585460196, Max=66.9653845579802, Min=66.46864243472812
MINUTE: Average=66.68056823730497, Max=66.9497719794599, Min=66.42061498563608
MINUTE: Average=66.36068795758575, Max=66.45548253165373, Min=66.20891084492612
MINUTE: Average=66.37917815914537, Max=66.53939285762597, Min=66.19304799665939
MINUTE: Average=66.58324955445283, Max=66.83767270190125, Min=66.37768145037069
MINUTE: Average=66.73024573554507, Max=66.8532418546954, Min=66.63345053562269
MINUTE: Average=66.454657901086, Max=66.6375549885669, Min=66.29961675085696
MINUTE: Average=66.5425330001963, Max=66.7624633628107, Min=66.31862520899567
MINUTE: Average=66.35164282053887, Max=66.44608417917928, Min=66.2706470506608
MINUTE: Average=66.32889329954794, Max=66.417278930714, Min=66.24206258600337
MINUTE: Average=66.56169477297121, Max=66.92211609363201, Min=66.17558830653606
MINUTE: Average=66.72662912094434, Max=66.83004942898535, Min=66.61635794039212
MINUTE: Average=66.77691434113585, Max=66.91684954940669, Min=66.62017292637944
MINUTE: Average=66.86338468947154, Max=66.94392384343875, Min=66.76335006811156
MINUTE: Average=66.85593689040702, Max=66.99132039127063, Min=66.71697995959694
MINUTE: Average=66.85778330879332, Max=67.0250214418986, Min=66.74469345107458
MINUTE: Average=66.81367080951094, Max=67.01240152496432, Min=66.65191537287534
MINUTE: Average=66.93589371453633, Max=67.03713385200525, Min=66.80617530670774
MINUTE: Average=66.90911069044046, Max=67.04994778561098, Min=66.7977537735237
MINUTE: Average=67.03021878940899, Max=67.12906918158644, Min=66.90238127290061
MINUTE: Average=67.06207420331705, Max=67.18093463773599, Min=66.9194496075861
MINUTE: Average=66.82046129842205, Max=66.98418020951497, Min=66.62310421977469
MINUTE: Average=66.69940421064634, Max=66.81672948222837, Min=66.51483884888626
MINUTE: Average=66.419762835654, Max=66.58886842183593, Min=66.23399273234703
MINUTE: Average=66.24295392923949, Max=66.59067989834665, Min=66.07880229055002
MINUTE: Average=66.77960481392343, Max=66.90976243511408, Min=66.54062174417695
MINUTE: Average=66.72070752588121, Max=66.87796946913768, Min=66.63499123686518
MINUTE: Average=66.75864449983638, Max=66.97222696734725, Min=66.56057973847001
MINUTE: Average=66.82732801648463, Max=66.95007451417531, Min=66.71420295085007
MINUTE: Average=66.77611102647926, Max=67.09226919967165, Min=66.53172515639503
MINUTE: Average=66.54415841277594, Max=66.65668799724318, Min=66.31968043612713
MINUTE: Average=66.43777732683999, Max=66.55073135268981, Min=66.28084392215895
MINUTE: Average=66.35862009834209, Max=66.46578763770906, Min=66.23500541956182
MINUTE: Average=66.3348111839052, Max=66.44546136159383, Min=66.19233596207617
MINUTE: Average=66.41407439646048, Max=66.55071799500382, Min=66.31519539204665
MINUTE: Average=66.64183229603634, Max=66.98717368670269, Min=66.43015262212057
MINUTE: Average=66.84899460428048, Max=67.03655313513116, Min=66.66931468836803
MINUTE: Average=66.70632717584252, Max=66.8034920952805, Min=66.5945981867184
MINUTE: Average=66.81316259936027, Max=66.9196432610562, Min=66.73031762554196
MINUTE: Average=67.07918013951297, Max=67.2585372646293, Min=66.80039047620532
MINUTE: Average=67.12243341316875, Max=67.27889232762872, Min=66.96054297454677
MINUTE: Average=66.86199461402533, Max=67.01211556481326, Min=66.6980079448767
MINUTE: Average=66.62463107590973, Max=66.76398531658779, Min=66.40832842773945
MINUTE: Average=66.45565362442044, Max=66.54979979344616, Min=66.3452208163085
MINUTE: Average=66.61011406255028, Max=66.80405143606896, Min=66.37411751291397
MINUTE: Average=66.67468050995517, Max=66.93308419543294, Min=66.52721745443256
MINUTE: Average=66.85193290083701, Max=66.99406167415262, Min=66.71111157692586
