
MINUTE: Average=230.88137502040107, Max=231.02831132564285, Min=230.6875796077179
MINUTE: Average=230.65410285381648, Max=230.80725256633332, Min=230.4231151778324
MINUTE: Average=230.56122995729126, Max=230.7617978339172, Min=230.42679184600115
MINUTE: Average=230.51612514646206, Max=230.7638224539603, Min=230.33172902865928
MINUTE: Average=230.57180737225468, Max=230.7327979476467, Min=230.41964317909424
MINUTE: Average=230.6334970812642, Max=230.74165809489062, Min=230.46845333341903
MINUTE: Average=230.83160767277633, Max=230.96815027425964, Min=230.64496016971782
MINUTE: Average=231.06234050164937, Max=231.3167390434732, Min=230.87575995178088
MINUTE: Average=231.4322376551984, Max=231.5373023966972, Min=231.2458197617949
MINUTE: Average=231.73306406845612, Max=232.06740884282826, Min=231.40759965541855
MINUTE: Average=232.1636377207715, Max=232.31111272703694, Min=231.92012343150145
MINUTE: Average=232.13148000927094, Max=232.2938109656517, Min=231.9934619399881
MINUTE: Average=232.04007910513758, Max=232.17414156297144, Min=231.88005348636605
MINUTE: Average=232.065290931039, Max=232.17382762756674, Min=231.94465478559886
MINUTE: Average=232.0514720700131, Max=232.1581098546927, Min=231.86366618834455
MINUTE: Average=231.83843158084946, Max=231.9453793081463, Min=231.74492893995358
MINUTE: Average=231.87007232518997, Max=232.05682714400376, Min=231.6696181876806
MINUTE: Average=231.55064330060824, Max=231.7209243376443, Min=231.41284661808672
MINUTE: Average=231.55035049280497, Max=231.6877656459961, Min=231.42087540925488
MINUTE: Average=231.64865005971367, Max=231.77655502764318, Min=231.45368781520781
MINUTE: Average=231.20293824562341, Max=231.67606657284446, Min=230.9081209609922
MINUTE: Average=231.16408737648027, Max=231.24516660199583, Min=231.0651760382653
MINUTE: Average=231.44960088675268, Max=231.66701471589022, Min=231.20498499626473
MINUTE: Average=231.5583215124866, Max=231.82503736603852, Min=231.348514045289
MINUTE: Average=231.96784471973564, Max=232.11215476279443, Min=231.83857849902498
MINUTE: Average=231.8319053709133, Max=231.9974282260685, Min=231.680804154377
MINUTE: Average=231.71950387844234, Max=231.81378167354757, Min=231.62343402563107
MINUTE: Average=231.8136198762619, Max=231.9529023704661, Min=231.68806912723534
MINUTE: Average=232.012089352388, Max=232.26493655393813, Min=231.795242357563
MINUTE: Average=232.16096021430428, Max=232.2975612138863, Min=232.0267057389944
MINUTE: Average=231.99389761832282, Max=232.22666104483096, Min=231.81809754008853
MINUTE: Average=232.45937710311517, Max=232.60293140697559, Min=232.2320530808449
MINUTE: Average=232.50902258993375, Max=232.61902999148077, Min=232.33585801614697
MINUTE: Average=232.20126261865718, Max=232.3730725404741, Min=232.09642003006428
MINUTE: Average=232.18087577865006, Max=232.30341028495698, Min=232.0402910711419
MINUTE: Average=232.36581616235043, Max=232.60385836065578, Min=232.12794954639946
MINUTE: Average=232.6383164322252, Max=232.77405985772506, Min=232.46084167901392
MINUTE: Average=232.60068596218045, Max=232.7414857632316, Min=232.41696162028097
MINUTE: Average=232.38403223430956, Max=232.59289227482734, Min=232.17212269205578
MINUTE: Average=232.03088913638436, Max=232.14246701865446, Min=231.92555017663716
MINUTE: Average=231.95015054017583, Max=232.16187074025075, Min=231.78579510357378
MINUTE: Average=231.94215331927137, Max=232.09244114245362, Min=231.82024665332102
MINUTE: Average=232.01169095589967, Max=232.18662303185556, Min=231.85562051607096
MINUTE: Average=231.89630262735312, Max=232.04246345302593, Min=231.7502693028506
MINUTE: Average=231.7284758520962, Max=231.85698641797055, Min=231.56787908445247
MINUTE: Average=231.71983729422192, Max=231.84964970681486, Min=231.5648395720596
MINUTE: Average=231.93751521696797, Max=232.03187796312068, Min=231.78887378362916
MINUTE: Average=231.86008293987726, Max=232.0198008901306, Min=231.74538744956098
MINUTE: Average=231.97540928609342, Max=232.08152072250704, Min=231.8433205017902
MINUTE: Average=232.02114464443892, Max=232.2598272370084, Min=231.7890928347323
MINUTE: Average=232.2970082997068, Max=232.48166372260906, Min=232.16942176727204
