
MINUTE: Average=101.39147800055018, Max=101.53510210167784, Min=101.22349381791894
MINUTE: Average=101.46222906687704, Max=101.63647239972131, Min=101.30767516754774
MINUTE: Average=101.44985981566124, Max=101.55685095077197, Min=101.32773669258589
MINUTE: Average=101.5597645420602, Max=101.75218492125872, Min=101.38967290255503
MINUTE: Average=101.53962543916624, Max=101.76672338232994, Min=101.35757039944286
MINUTE: Average=101.29183554024016, Max=101.45029277874391, Min=101.12060687015828
MINUTE: Average=101.12974636886426, Max=101.27356327660007, Min=100.97663242957279
MINUTE: Average=100.86118952008361, Max=101.03412488623388, Min=100.67595289431667
MINUTE: Average=100.74133022575514, Max=100.87950677105242, Min=100.55677524156731
MINUTE: Average=100.65210278174773, Max=100.82812224019985, Min=100.47789386002037
MINUTE: Average=100.64180992743533, Max=100.7627511497416, Min=100.5006463571376
MINUTE: Average=100.45275385979932, Max=100.54666979306577, Min=100.35093738095954
MINUTE: Average=100.26880549614545, Max=100.54486888797838, Min=100.07869536175676
MINUTE: Average=100.12328733457888, Max=100.24433460314717, Min=99.92346562171302
MINUTE: Average=99.92397393736626, Max=100.0608072838497, Min=99.79940739973537
MINUTE: Average=99.99941384272951, Max=100.11519539814898, Min=99.85066131377275
MINUTE: Average=99.86539486586656, Max=99.9950655754317, Min=99.75045748898697
MINUTE: Average=99.9370795115241, Max=100.03521168249546, Min=99.76586895375578
MINUTE: Average=99.95952564118208, Max=100.03672789869754, Min=99.83111024307958
MINUTE: Average=100.20127270592616, Max=100.38245303751776, Min=99.970799397646
MINUTE: Average=99.99599324893664, Max=100.13608838149936, Min=99.86611200664841
MINUTE: Average=100.10437954988875, Max=100.23058688612039, Min=100.00363809013754
MINUTE: Average=100.2325017412347, Max=100.40776974187374, Min=100.04369704464462
MINUTE: Average=99.96574861587304, Max=100.12112670059705, Min=99.84145667612624
MINUTE: Average=99.88300151383511, Max=100.05132581397606, Min=99.72214622238928
MINUTE: Average=99.68686160778539, Max=99.82316617191967, Min=99.55690292039975
MINUTE: Average=99.60386657131816, Max=99.81382208492909, Min=99.37808972664158
MINUTE: Average=99.87611780419849, Max=100.07408808910115, Min=99.70817888394924
MINUTE: Average=99.94262310090978, Max=100.12209586114206, Min=99.7862671153849
MINUTE: Average=100.02984830729989, Max=100.17828735567493, Min=99.85745326928023
MINUTE: Average=100.42989776476162, Max=100.62394978915343, Min=100.14893771237985
MINUTE: Average=100.46182879308009, Max=100.58620471277354, Min=100.36049986011488
MINUTE: Average=100.51477086416592, Max=100.61180030535876, Min=100.42132145924046
MINUTE: Average=100.51522416135987, Max=100.68475598466239, Min=100.34105010501025
MINUTE: Average=100.64215261584974, Max=100.86917162741776, Min=100.46542684783674
MINUTE: Average=100.75711660162227, Max=100.94489698886397, Min=100.55396400035306
MINUTE: Average=100.73949925404682, Max=100.90046379598873, Min=100.59290424421806
MINUTE: Average=100.73395619800145, Max=100.94454130419385, Min=100.55872833779499
MINUTE: Average=101.08419140102939, Max=101.22564642120922, Min=100.88158423454524
MINUTE: Average=101.02244110189022, Max=101.2248689612464, Min=100.89141384761395
MINUTE: Average=101.01267577495332, Max=101.12214543649252, Min=100.87650792308696
MINUTE: Average=100.9752248215797, Max=101.12540824263364, Min=100.87461436939097
MINUTE: Average=101.16791998322324, Max=101.34574739738, Min=100.91358688852814
MINUTE: Average=101.25408916527945, Max=101.36018794204912, Min=101.13951461581193
MINUTE: Average=101.2480853886055, Max=101.32876583753824, Min=101.16505136052139
MINUTE: Average=101.37654784550786, Max=101.52213093414431, Min=101.21222492577635
MINUTE: Average=101.33139941425537, Max=101.44470594458446, Min=101.21677066355221
MINUTE: Average=101.14435543483813, Max=101.23866137427325, Min=101.05413862347433
MINUTE: Average=101.08785977181273, Max=101.18300019443767, Min=100.95114822297232
