
MINUTE: Average=231.0031118721278, Max=231.13281388636997, Min=230.82238794640344
MINUTE: Average=231.1515895388224, Max=231.39524826920737, Min=230.97522833594013
MINUTE: Average=231.39926319097745, Max=231.57559169250774, Min=231.18417400304526
MINUTE: Average=230.95291634876247, Max=231.15485768585322, Min=230.71471934057644
MINUTE: Average=230.71605755218837, Max=230.8119888893253, Min=230.61198857795247
MINUTE: Average=230.85827224887652, Max=231.07367305329998, Min=230.63701420411957
MINUTE: Average=231.22220421300688, Max=231.53632020074724, Min=231.00469412009664
MINUTE: Average=231.56051869631267, Max=231.92003558812817, Min=231.30873142642878
MINUTE: Average=231.92147958636366, Max=232.05791181369784, Min=231.7947228889902
MINUTE: Average=231.72526742111762, Max=231.8926824847326, Min=231.5773364995156
MINUTE: Average=231.70961301406535, Max=231.85705506805968, Min=231.5415775334257
MINUTE: Average=231.64655651096658, Max=231.82149409864599, Min=231.46043352761188
MINUTE: Average=231.55862037661802, Max=231.76195941702812, Min=231.36380601041753
MINUTE: Average=231.2484227039311, Max=231.35579248040986, Min=231.1461152678001
MINUTE: Average=231.29107216107118, Max=231.4697148626859, Min=231.2102399289147
MINUTE: Average=231.40069256105272, Max=231.53395366825552, Min=231.30577476508898
MINUTE: Average=231.40144448682747, Max=231.50450769235096, Min=231.301043539032
MINUTE: Average=231.44125464805447, Max=231.62521203940713, Min=231.32780896516024
MINUTE: Average=231.3031383542965, Max=231.52035551587682, Min=231.05144305882544
MINUTE: Average=231.48820037441286, Max=231.60026670527293, Min=231.3061222020023
MINUTE: Average=231.40747401390294, Max=231.55120089694387, Min=231.2973132856014
MINUTE: Average=231.21379509181423, Max=231.32875194808568, Min=231.12812866941144
MINUTE: Average=231.00816966266447, Max=231.1518917258372, Min=230.82031466365032
MINUTE: Average=230.75226456107836, Max=230.8576510119725, Min=230.61618420257182
MINUTE: Average=230.70096344535452, Max=230.86272323183348, Min=230.53055941926652
MINUTE: Average=231.02762950776813, Max=231.33585805265392, Min=230.75014707373526
MINUTE: Average=231.59317683919434, Max=231.79128918916643, Min=231.31679336887947
MINUTE: Average=231.76801382403696, Max=231.86454302283005, Min=231.69264793320417
MINUTE: Average=231.85351287677375, Max=231.9568410332268, Min=231.7193300966712
MINUTE: Average=231.5129674692668, Max=231.6750417291481, Min=231.36079400479576
MINUTE: Average=231.57345734886974, Max=231.7016069517334, Min=231.4414316964468
MINUTE: Average=231.78317386289876, Max=231.90485895135058, Min=231.67789340959413
MINUTE: Average=231.72613356998343, Max=231.8085635907883, Min=231.64289017595024
MINUTE: Average=231.95316607682255, Max=232.16619190380817, Min=231.7066528320031
MINUTE: Average=232.2044781334315, Max=232.36427153064315, Min=232.0656020271993
MINUTE: Average=232.26124240338993, Max=232.36090909915816, Min=232.15185492302436
MINUTE: Average=232.24862181335465, Max=232.37397129393267, Min=232.05372680546702
MINUTE: Average=232.28306539043464, Max=232.46532525056298, Min=232.1020881526973
MINUTE: Average=232.04470284516225, Max=232.31557306335714, Min=231.85065419324349
MINUTE: Average=231.84802072645212, Max=232.00982391322484, Min=231.7175716252847
MINUTE: Average=231.79415566923555, Max=231.89065939781872, Min=231.70621367166405
MINUTE: Average=231.9459079668186, Max=232.16971718818328, Min=231.7041743204029
MINUTE: Average=232.36571638519737, Max=232.56100269597866, Min=232.1822437281667
MINUTE: Average=232.85331134900997, Max=233.00477871954985, Min=232.54702966510143
MINUTE: Average=232.91600496852908, Max=233.0317869397273, Min=232.82049482806627
MINUTE: Average=232.90547921906972, Max=233.0497036542925, Min=232.729357911893
MINUTE: Average=232.7730713226031, Max=233.04527973928435, Min=232.62042837972834
MINUTE: Average=232.7284144132292, Max=232.9093132877788, Min=232.46372902973798
MINUTE: Average=232.55844090139243, Max=232.68275746952952, Min=232.37709873412544
MINUTE: Average=232.52001196306227, Max=232.65278671114876, Min=232.41275830868747
MINUTE: Average=232.81140642992997, Max=232.92241927602132, Min=232.56482537904685
MINUTE: Average=232.84671960851935, Max=233.01108033446147, Min=232.6922561346857
MINUTE: Average=232.44732719747998, Max=232.75012456308505, Min=232.17923515078633
MINUTE: Average=232.18961099399732, Max=232.29783127272236, Min=232.03974739303132
MINUTE: Average=232.2560545135243, Max=232.39139494825548, Min=232.13833754334627
MINUTE: Average=231.9715414180691, Max=232.1182752472903, Min=231.80784004269046
MINUTE: Average=231.8906249022929, Max=231.99877256431944, Min=231.78322709682283
MINUTE: Average=231.86620611982835, Max=232.07397710922862, Min=231.64742366018186
MINUTE: Average=231.9956952818879, Max=232.07300539336498, Min=231.92548227470712
MINUTE: Average=232.03678680950972, Max=232.16638978644158, Min=231.93360159027623
MINUTE: Average=231.87559472390515, Max=231.97799451607693, Min=231.71435316099837
MINUTE: Average=231.93086989480892, Max=232.20599503988578, Min=231.77699299020094
MINUTE: Average=232.03758527114996, Max=232.26057091787393, Min=231.75983371009758
MINUTE: Average=231.9154547409935, Max=232.04669610454144, Min=231.82219422702124
MINUTE: Average=232.07707972606147, Max=232.33709817644674, Min=231.83726898963133
MINUTE: Average=232.39043717954513, Max=232.54085141126407, Min=232.30157743706513
MINUTE: Average=232.11486370232234, Max=232.30992623806202, Min=231.8561675903132
MINUTE: Average=231.94251346205695, Max=232.07202615495484, Min=231.83418148024455
MINUTE: Average=231.91148428334228, Max=232.0792852530728, Min=231.75856645480346
MINUTE: Average=231.95713202272677, Max=232.1254350119015, Min=231.7326104972539
MINUTE: Average=231.76070848151136, Max=231.87774831845584, Min=231.6231160032576
MINUTE: Average=231.93487808148478, Max=232.03063578035056, Min=231.7431087861953
MINUTE: Average=231.76052531200503, Max=231.9721120044516, Min=231.49271053207468
MINUTE: Average=231.4945477808909, Max=231.60046591591205, Min=231.38607520303447
MINUTE: Average=231.72419329260708, Max=231.84832344540024, Min=231.53539195335802
MINUTE: Average=231.5581445566792, Max=231.63309576675218, Min=231.4918687100148
MINUTE: Average=231.58788706846158, Max=231.75921357914862, Min=231.3280938714465
MINUTE: Average=231.3014006401506, Max=231.53824970746638, Min=231.07084059049458
MINUTE: Average=231.1298955474132, Max=231.2141621939537, Min=231.05093969418996
MINUTE: Average=231.05643846896263, Max=231.12086750501012, Min=230.97445453188976
MINUTE: Average=230.97276765483022, Max=231.08618473055049, Min=230.83138319999185
MINUTE: Average=231.06657623896353, Max=231.23515624798787, Min=230.89517814679758
MINUTE: Average=230.83444940978086, Max=230.95326554053528, Min=230.6442833626272
MINUTE: Average=230.81719771559546, Max=230.95398701045355, Min=230.70371220455792
MINUTE: Average=231.04773899908906, Max=231.20881524068983, Min=230.86817760044661
MINUTE: Average=231.0242406041223, Max=231.14355651698887, Min=230.9031262673097
MINUTE: Average=231.15195646048866, Max=231.27780521501563, Min=231.05584699210323
MINUTE: Average=230.98745974071684, Max=231.1903920894526, Min=230.73706936419413
MINUTE: Average=230.888043070761, Max=231.03145120720833, Min=230.70460833232565
MINUTE: Average=230.88631833715306, Max=231.00277526833082, Min=230.79163135276465
MINUTE: Average=230.8627310983064, Max=231.0286687545069, Min=230.70561331039616
MINUTE: Average=230.78266538573692, Max=230.9372670968863, Min=230.62257738783467
MINUTE: Average=230.64559206215833, Max=230.87907272313225, Min=230.49885376268588
MINUTE: Average=230.62085871392597, Max=230.8714947948846, Min=230.42545747715707
MINUTE: Average=230.96484089056244, Max=231.14117142254875, Min=230.78686398484714
MINUTE: Average=230.7772916090769, Max=230.91615950433538, Min=230.49225047055506
MINUTE: Average=230.427612103086, Max=230.56077286309096, Min=230.33679217166258
MINUTE: Average=230.2974354356999, Max=230.38280067076022, Min=230.20933529659428
MINUTE: Average=230.34693602289235, Max=230.47047512849727, Min=230.198726529295
MINUTE: Average=230.2507179859735, Max=230.4707275359494, Min=230.12236384475753
MINUTE: Average=230.23889689955237, Max=230.34840617347925, Min=230.08749114418404
MINUTE: Average=230.1802133731991, Max=230.33519646871795, Min=230.05426440005394
MINUTE: Average=230.1145761267033, Max=230.28995532886574, Min=229.96996790201
MINUTE: Average=229.9476180311186, Max=230.06594670829872, Min=229.74424596771476
MINUTE: Average=229.8218345276177, Max=229.92334922324457, Min=229.69541961763358
MINUTE: Average=229.85315822746435, Max=230.05486663691732, Min=229.73088257928924
MINUTE: Average=229.8207340907799, Max=229.96085214118696, Min=229.66124202960756
MINUTE: Average=229.94073017268065, Max=230.20143371284203, Min=229.70890595192336
MINUTE: Average=230.10872250562178, Max=230.23135767094243, Min=229.98388058582645
MINUTE: Average=229.93401815436522, Max=230.05591517788048, Min=229.82571778686946
MINUTE: Average=229.78749682990193, Max=229.89217855315314, Min=229.67792066976892
MINUTE: Average=229.84360107473003, Max=229.95595894677243, Min=229.73440597599011
MINUTE: Average=230.07916738231322, Max=230.25898097986612, Min=229.90307943155761
MINUTE: Average=229.9953543512851, Max=230.24482136955294, Min=229.60973456419225
MINUTE: Average=229.5310128226837, Max=229.65678930235725, Min=229.43014707169476
MINUTE: Average=229.7578432157846, Max=229.87997997972795, Min=229.55528233437485
MINUTE: Average=229.98713945971025, Max=230.14380005421705, Min=229.7847701516146
MINUTE: Average=229.8392221846047, Max=230.00665701914772, Min=229.6826875634208
MINUTE: Average=229.9486053561495, Max=230.0555098544167, Min=229.85895726979152
MINUTE: Average=229.78507191560067, Max=229.98389916948616, Min=229.68694709764154
MINUTE: Average=229.8208800128753, Max=230.01226777966187, Min=229.59078576258088
MINUTE: Average=229.92855901624895, Max=230.06754983142605, Min=229.8347806535336
MINUTE: Average=229.75649467654983, Max=229.9492586815119, Min=229.62144756662389
MINUTE: Average=229.8845578852093, Max=230.09113171816892, Min=229.7313939857621
MINUTE: Average=230.01776997783068, Max=230.23751249420462, Min=229.80548382178065
MINUTE: Average=230.20145275029626, Max=230.29836122022593, Min=230.11891485754646
MINUTE: Average=230.1164900423113, Max=230.26285131504974, Min=229.91986483370474
MINUTE: Average=229.9672672667304, Max=230.07646165236068, Min=229.86851722451374
MINUTE: Average=230.1328436173645, Max=230.22639265695707, Min=229.99307341753368
MINUTE: Average=230.10428017061602, Max=230.22151066249097, Min=229.9648928402537
MINUTE: Average=230.05511721624194, Max=230.15944680408555, Min=229.95277369391636
MINUTE: Average=230.1915858632571, Max=230.36452910540757, Min=230.041617737525
MINUTE: Average=230.3113376603693, Max=230.45563027051892, Min=230.16320361444667
MINUTE: Average=230.28208478936915, Max=230.4373321943107, Min=230.12063946745695
MINUTE: Average=229.99381510296286, Max=230.13649640386174, Min=229.85117424734656
MINUTE: Average=230.18012740384364, Max=230.3048594124231, Min=230.0602416995364
MINUTE: Average=230.06667713549933, Max=230.29217675542344, Min=229.94927067682494
MINUTE: Average=229.85575293284595, Max=230.09267703674763, Min=229.6629672462869
MINUTE: Average=229.63677131876787, Max=229.76128845530678, Min=229.49340250967785
MINUTE: Average=229.65927074519013, Max=229.77118737472705, Min=229.5361886992042
MINUTE: Average=229.55035391150554, Max=229.8257199633998, Min=229.33223385408488
MINUTE: Average=229.090607983739, Max=229.37597284618306, Min=228.88653690945688
MINUTE: Average=228.82788815999655, Max=229.0285329486722, Min=228.63553417606707
MINUTE: Average=228.7140144356972, Max=228.9403193538677, Min=228.5676033587271
MINUTE: Average=228.80472411872498, Max=229.00540577648786, Min=228.59631484746518
MINUTE: Average=228.8825479127326, Max=229.14631190191653, Min=228.76196521040643
