
MINUTE: Average=375.82062490266, Max=375.92268715913383, Min=375.6902099298224
MINUTE: Average=376.1006710619077, Max=376.3885469984205, Min=375.89321479701744
MINUTE: Average=376.22239416856394, Max=376.3292924142933, Min=376.13257760704755
MINUTE: Average=376.26189247814887, Max=376.3637410264815, Min=376.1171898612322
MINUTE: Average=376.1380704316862, Max=376.328588614387, Min=376.01342383335617
MINUTE: Average=376.21847484104757, Max=376.4852533159743, Min=376.03684222937983
MINUTE: Average=376.3654774460007, Max=376.5103821593743, Min=376.16527145265866
MINUTE: Average=376.2500254410709, Max=376.44101524072215, Min=376.13027857863835
MINUTE: Average=376.2551727291153, Max=376.4012345046339, Min=376.1309212310167
MINUTE: Average=375.98836880722826, Max=376.1262155029331, Min=375.8122512279008
MINUTE: Average=376.08279179171114, Max=376.2474312006135, Min=375.97672911890373
MINUTE: Average=376.07384930003906, Max=376.2903746447146, Min=375.8139259031574
MINUTE: Average=375.91302182028284, Max=376.03508197111046, Min=375.8003273350465
MINUTE: Average=375.7584734848272, Max=375.8956610681629, Min=375.6543914172951
MINUTE: Average=375.89507994420154, Max=376.1128987267419, Min=375.74120920156037
MINUTE: Average=375.9631085509334, Max=376.11559113402814, Min=375.8127472685935
MINUTE: Average=375.7742626470145, Max=375.9080470195336, Min=375.65524569382376
MINUTE: Average=375.91383364547903, Max=376.02717517956745, Min=375.72712992234176
MINUTE: Average=375.88872884654353, Max=376.0391238407948, Min=375.7977218091026
MINUTE: Average=375.9929230808179, Max=376.1676720961354, Min=375.8448530514267
MINUTE: Average=376.1217059240043, Max=376.28815802428215, Min=375.98078464364414
MINUTE: Average=376.2010601528546, Max=376.3236594542518, Min=375.9969212155258
MINUTE: Average=376.18790581685323, Max=376.3617188435771, Min=376.0690485887208
MINUTE: Average=376.0974618016002, Max=376.30772116139013, Min=375.88011029620515
MINUTE: Average=376.19901243224825, Max=376.3293077552175, Min=376.0352132598116
MINUTE: Average=376.2573418833327, Max=376.530032941169, Min=375.98172783973234
MINUTE: Average=376.180557318265, Max=376.430599937408, Min=376.054597149918
MINUTE: Average=376.24346305138477, Max=376.37102033181196, Min=376.11110532348846
MINUTE: Average=375.9088515272179, Max=376.2868228332221, Min=375.51707819087846
MINUTE: Average=375.55229769898375, Max=375.76652675165104, Min=375.3319754657029
MINUTE: Average=375.85016902735873, Max=375.96713979948254, Min=375.7100076530318
MINUTE: Average=375.93839735906226, Max=376.063265037383, Min=375.83929774602734
MINUTE: Average=375.711415852162, Max=376.04008077280963, Min=375.513948452733
MINUTE: Average=375.72047347538654, Max=375.8844640420379, Min=375.5674209972043
MINUTE: Average=376.3167720873423, Max=376.5891335781399, Min=375.9143252565999
