
MINUTE: Average=36.46748843798222, Max=36.617656902706734, Min=36.26542614168329
MINUTE: Average=36.73946372015116, Max=36.8196512499769, Min=36.55710059625296
MINUTE: Average=36.85554587556934, Max=36.95929249030735, Min=36.70773286514724
MINUTE: Average=36.8506768213598, Max=37.02826004583463, Min=36.71577571486471
MINUTE: Average=36.87353934761211, Max=37.076063087280716, Min=36.66285188334503
MINUTE: Average=36.870129293006556, Max=37.178431745621666, Min=36.632981317805395
MINUTE: Average=37.12915343655857, Max=37.284635924483325, Min=36.9788293380296
MINUTE: Average=37.23456658859288, Max=37.42193266573167, Min=37.10145727577931
MINUTE: Average=37.480724675690496, Max=37.640438557680156, Min=37.353176550442576
MINUTE: Average=37.191807091724755, Max=37.3794115460474, Min=36.9767704220165
MINUTE: Average=37.01662625440217, Max=37.13857652725814, Min=36.814158569749466
MINUTE: Average=36.68658237480587, Max=36.83093372311348, Min=36.51649616669337
MINUTE: Average=36.695497381527325, Max=36.99464314180414, Min=36.52615801648219
MINUTE: Average=37.0392839486294, Max=37.152203845915174, Min=36.933859457063534
MINUTE: Average=36.98709432655634, Max=37.12917697556585, Min=36.8544699531305
MINUTE: Average=36.85706901819685, Max=36.98718183527035, Min=36.7367457385403
MINUTE: Average=36.70655301944284, Max=36.94659909137593, Min=36.52766070844538
MINUTE: Average=36.61929371548933, Max=36.7283244472686, Min=36.51307172996747
MINUTE: Average=36.70664950323559, Max=36.975570522756485, Min=36.44727947373173
MINUTE: Average=37.00167057294596, Max=37.20862575983284, Min=36.8771025398401
MINUTE: Average=37.15450720424678, Max=37.34946596733775, Min=36.92230806227079
MINUTE: Average=37.339497023486345, Max=37.669000574188196, Min=37.00881885106468
MINUTE: Average=37.65647881545587, Max=37.84905559466954, Min=37.41219993329861
MINUTE: Average=37.98582703215254, Max=38.08041045460012, Min=37.89153848030047
MINUTE: Average=37.872154578410814, Max=37.93815025821133, Min=37.7830250827887
MINUTE: Average=38.04231439264859, Max=38.32625809139223, Min=37.78739106916992
MINUTE: Average=38.49737227804264, Max=38.69830157883096, Min=38.3584824887725
MINUTE: Average=38.37470827736779, Max=38.509780986364916, Min=38.22757839613673
MINUTE: Average=38.21123837894131, Max=38.47247764276279, Min=38.05454823300024
MINUTE: Average=37.983974172227995, Max=38.1957123341771, Min=37.72227134053339
MINUTE: Average=37.74940179334422, Max=37.816305229887796, Min=37.66440576697262
MINUTE: Average=37.80814388119661, Max=37.986041845786815, Min=37.63165536476839
MINUTE: Average=38.043009756321254, Max=38.12804032070898, Min=37.946525649684254
MINUTE: Average=38.20976763490827, Max=38.34363085066591, Min=38.02234314737573
MINUTE: Average=38.04613638032639, Max=38.23065168626965, Min=37.89559155086253
MINUTE: Average=38.13374744063431, Max=38.2577146739851, Min=37.97761277023543
MINUTE: Average=38.00571694922146, Max=38.12656617126319, Min=37.80925532780216
MINUTE: Average=37.69088016648286, Max=37.86492300854083, Min=37.5545902010669
MINUTE: Average=37.674497143406235, Max=37.79492903276272, Min=37.53682056383323
MINUTE: Average=37.666561412298236, Max=37.778520529424405, Min=37.53391082205346
MINUTE: Average=37.87694459875858, Max=38.04549444685625, Min=37.71760883417149
MINUTE: Average=38.060743343340455, Max=38.23735086835741, Min=37.85149175482741
MINUTE: Average=38.246890062580164, Max=38.33825117766532, Min=38.11992386498782
MINUTE: Average=38.215246727172016, Max=38.3162735351837, Min=38.123642602911126
MINUTE: Average=38.47463731855414, Max=38.702422719927135, Min=38.237286317282695
MINUTE: Average=38.55726230163278, Max=38.652557803518214, Min=38.4080179941222
MINUTE: Average=38.56151343944589, Max=38.66892890534408, Min=38.472734734398195
MINUTE: Average=38.87965938334961, Max=39.06694267183922, Min=38.63827135765681
MINUTE: Average=38.92036607122702, Max=39.03519631111856, Min=38.76531027143901
MINUTE: Average=39.30937576819885, Max=39.54177277428324, Min=38.94057797253693
MINUTE: Average=39.08408352212136, Max=39.28877298732615, Min=38.934234910758754
MINUTE: Average=38.906285258199446, Max=39.05131882098983, Min=38.72953053363636
MINUTE: Average=38.84272602144001, Max=38.925027618980096, Min=38.763064409611935
MINUTE: Average=39.0048402090501, Max=39.140884383364615, Min=38.89660975499338
MINUTE: Average=39.141610988397694, Max=39.378659711364975, Min=38.943178892551074
MINUTE: Average=39.507020393461254, Max=39.67886293885096, Min=39.34457958416739
MINUTE: Average=39.70441846777889, Max=39.8006052525409, Min=39.61371030341963
MINUTE: Average=39.42237615261955, Max=39.713543922410146, Min=39.219158152588676
MINUTE: Average=39.336143132089575, Max=39.429918851713076, Min=39.26297840515832
MINUTE: Average=39.24089721378699, Max=39.37394180960142, Min=39.083155733629035
MINUTE: Average=39.1523178503301, Max=39.33750764243506, Min=39.0289710569634
MINUTE: Average=39.22006718635326, Max=39.4227882483153, Min=38.99452946210643
MINUTE: Average=39.33210354776606, Max=39.42053625812305, Min=39.20481758672951
MINUTE: Average=39.325109817897655, Max=39.43470588754098, Min=39.223188503431416
MINUTE: Average=39.38029819750009, Max=39.55645327400656, Min=39.254391490577675
MINUTE: Average=39.37603153670359, Max=39.50189323469449, Min=39.303666661596516
MINUTE: Average=39.34719925291294, Max=39.48774589842161, Min=39.144386314651385
MINUTE: Average=39.58257559683123, Max=39.75992044312661, Min=39.43770045375406
MINUTE: Average=39.446923305763626, Max=39.64406715200674, Min=39.23317384979697
MINUTE: Average=39.313145560993306, Max=39.4342866190168, Min=39.138356356402035
MINUTE: Average=39.27425156803851, Max=39.399851232454964, Min=39.1859657416908
MINUTE: Average=39.3676948289579, Max=39.56456524282289, Min=39.17471342033217
MINUTE: Average=39.34207155371985, Max=39.51453724651837, Min=39.12013778690682
MINUTE: Average=39.15087233271215, Max=39.29171740973888, Min=38.98368079041111
MINUTE: Average=39.05382750068535, Max=39.20057783320057, Min=38.930036524840034
MINUTE: Average=39.1545352406533, Max=39.30775113435294, Min=39.01297256926057
MINUTE: Average=39.39750608746834, Max=39.496314502230526, Min=39.22754288725981
MINUTE: Average=39.351677389985184, Max=39.56591848667306, Min=39.112774438987195
MINUTE: Average=39.176102254624304, Max=39.32601904834319, Min=39.07001211459906
MINUTE: Average=39.38773936975345, Max=39.594295562096555, Min=39.194531083095015
MINUTE: Average=39.562567323910294, Max=39.70714125465289, Min=39.450177013646346
MINUTE: Average=40.01000174740271, Max=40.104331754614016, Min=39.71669739269642
MINUTE: Average=40.22008147366213, Max=40.37348006456024, Min=40.04103872881711
MINUTE: Average=39.970072719477656, Max=40.207155159379646, Min=39.692853867133934
MINUTE: Average=40.02325368910028, Max=40.19107283608339, Min=39.90935146379553
MINUTE: Average=40.02426449276434, Max=40.2151526695758, Min=39.86918632758319
MINUTE: Average=40.02793278600072, Max=40.18932420044944, Min=39.799049832544846
MINUTE: Average=39.991075967528545, Max=40.09799792453298, Min=39.808468320048384
MINUTE: Average=40.227782066830834, Max=40.38038563431252, Min=40.04331963372433
MINUTE: Average=39.93100318127789, Max=40.21793066383835, Min=39.747999786632086
MINUTE: Average=39.52040010545115, Max=39.82208594601644, Min=39.3411080302929
MINUTE: Average=39.326117573811786, Max=39.515854277162546, Min=39.029137021366736
MINUTE: Average=38.896753888274745, Max=39.14882719494325, Min=38.726305536433884
MINUTE: Average=38.57838734307896, Max=38.81311293046259, Min=38.402094019719755
MINUTE: Average=38.62947974406464, Max=38.75090674547989, Min=38.452692292742235
MINUTE: Average=38.52158045207178, Max=38.686091397341954, Min=38.32734792988435
MINUTE: Average=38.407722179737455, Max=38.506107560761606, Min=38.33435073445561
MINUTE: Average=38.33185907818062, Max=38.44743110648606, Min=38.221050466994804
MINUTE: Average=38.714413865124165, Max=38.87277403087024, Min=38.37825357577762
MINUTE: Average=38.96631512419897, Max=39.07389558977088, Min=38.80869937299414
MINUTE: Average=38.96731969127691, Max=39.17338506783416, Min=38.74845569324936
