
MINUTE: Average=851.6491471629199, Max=851.7999113127044, Min=851.5475776859807
MINUTE: Average=851.830595983405, Max=851.9099333267775, Min=851.7613267606633
MINUTE: Average=851.7940705066978, Max=851.9034907943743, Min=851.6889163093784
MINUTE: Average=851.7318803058118, Max=851.9780406528142, Min=851.5381053484949
MINUTE: Average=851.7320226939221, Max=851.8572449156205, Min=851.6179271736909
MINUTE: Average=851.845145601246, Max=852.1042495833652, Min=851.6523958242178
MINUTE: Average=851.9508401963055, Max=852.1305975487654, Min=851.8307399720115
MINUTE: Average=851.841194746603, Max=851.947481228265, Min=851.7325115368462
MINUTE: Average=851.734500472238, Max=851.8792622990964, Min=851.6063550177157
MINUTE: Average=851.9264898695458, Max=852.0977914024716, Min=851.7634712462667
MINUTE: Average=852.100605743295, Max=852.3026144265657, Min=851.896273079291
MINUTE: Average=852.2240986735196, Max=852.408952650826, Min=852.0688996482922
MINUTE: Average=852.4055244028638, Max=852.5477771895647, Min=852.2901103771173
MINUTE: Average=852.468333773828, Max=852.5438579284429, Min=852.3557209230024
MINUTE: Average=852.3965772486969, Max=852.525532026158, Min=852.31397186349
MINUTE: Average=852.1780459053339, Max=852.3656297597369, Min=851.9260461051648
MINUTE: Average=851.7810466164066, Max=852.0037521480887, Min=851.4896176175238
MINUTE: Average=851.877954168369, Max=852.0653323340125, Min=851.5409924361991
MINUTE: Average=851.6538857343116, Max=851.8637881111382, Min=851.3148708109602
MINUTE: Average=851.6001815538742, Max=851.82280796518, Min=851.3307559339936
MINUTE: Average=851.3836065168126, Max=851.6909822240452, Min=851.1599575660281
MINUTE: Average=851.2935743350724, Max=851.4108135921372, Min=851.1822239939386
MINUTE: Average=850.9057688336288, Max=851.2359906743454, Min=850.5252059506649
MINUTE: Average=850.4264389610686, Max=850.611758278685, Min=850.2486817167995
MINUTE: Average=850.6330711059298, Max=850.7971286497716, Min=850.4673424955865
MINUTE: Average=850.6040573346784, Max=850.6889939132475, Min=850.4275240663004
MINUTE: Average=850.7092558161054, Max=850.8114868751269, Min=850.5725940401592
MINUTE: Average=850.7913495147037, Max=851.0789663988305, Min=850.5278482298113
MINUTE: Average=851.0007657416576, Max=851.0865294112557, Min=850.9070903661996
MINUTE: Average=850.9255782245633, Max=851.1658631882012, Min=850.6785830452319
MINUTE: Average=851.2136345219374, Max=851.4051320710013, Min=851.0365059668429
MINUTE: Average=851.1391165194444, Max=851.2753845227808, Min=851.0277844500407
MINUTE: Average=851.0329543534648, Max=851.3198823283137, Min=850.8746066753416
MINUTE: Average=851.2925213949883, Max=851.469224884733, Min=851.1601670789513
MINUTE: Average=851.2695553624459, Max=851.4592268983305, Min=851.0451837235942
MINUTE: Average=851.4988706606829, Max=851.6489418557325, Min=851.3138455834171
MINUTE: Average=851.4711554978763, Max=851.6177256366212, Min=851.2047389704527
MINUTE: Average=851.1230916881066, Max=851.2629347604006, Min=851.0124538491154
MINUTE: Average=851.0771118981485, Max=851.2375659089371, Min=850.9117535160545
MINUTE: Average=851.072262774882, Max=851.200115618667, Min=850.9328225733938
MINUTE: Average=850.9724474318242, Max=851.1030521899592, Min=850.8509751745331
MINUTE: Average=851.2188337309522, Max=851.3754516839606, Min=851.0200623139574
MINUTE: Average=851.3183331540804, Max=851.4157170150851, Min=851.2130076095762
MINUTE: Average=851.2816420964368, Max=851.422460232777, Min=851.1766113663322
MINUTE: Average=851.1904434935126, Max=851.3104750395088, Min=850.9878843455182
MINUTE: Average=850.7629250327411, Max=851.0014154832504, Min=850.5976872982762
MINUTE: Average=850.6923067148547, Max=850.8094298786065, Min=850.5552688289386
MINUTE: Average=850.4696764878032, Max=850.6677925730446, Min=850.2664971956584
MINUTE: Average=850.4005750813229, Max=850.5632546101872, Min=850.2499525657322
MINUTE: Average=850.6554526468956, Max=850.8485012216082, Min=850.4781525908313
MINUTE: Average=850.5061201253976, Max=850.7645532010603, Min=850.3365776025356
MINUTE: Average=850.3557064070777, Max=850.5132426675617, Min=850.2579896823416
MINUTE: Average=850.5004009946487, Max=850.6716428653068, Min=850.2431016266169
MINUTE: Average=850.5296981008048, Max=850.7934319403789, Min=850.3630788565611
MINUTE: Average=850.6971956338083, Max=850.8574080664421, Min=850.5318381449589
MINUTE: Average=850.7763983280776, Max=850.9176007107508, Min=850.6583822712957
MINUTE: Average=850.7245970340003, Max=850.8776755288346, Min=850.5972628813313
MINUTE: Average=850.719922723454, Max=850.9723686188861, Min=850.4803563034619
MINUTE: Average=850.6446720453479, Max=850.9069807010233, Min=850.4879287146393
MINUTE: Average=850.4695998518798, Max=850.5862788815888, Min=850.373127269221
MINUTE: Average=850.6464680280999, Max=850.9039607863881, Min=850.4264176911296
MINUTE: Average=850.6836339022395, Max=850.8875053529961, Min=850.4724631558976
MINUTE: Average=850.7340469276367, Max=850.9672855946807, Min=850.4799495230149
MINUTE: Average=850.9684033843364, Max=851.0707186410382, Min=850.8598716025456
