
MINUTE: Average=521.2522080935734, Max=521.4031192414657, Min=521.0887309408552
MINUTE: Average=521.1921792875495, Max=521.3577844663546, Min=521.0804781188185
MINUTE: Average=521.3395919690352, Max=521.4811212439462, Min=521.2265346351355
MINUTE: Average=521.420743506491, Max=521.6015752618135, Min=521.2534093323351
MINUTE: Average=521.4017987520006, Max=521.5191732256083, Min=521.2164208471767
MINUTE: Average=521.0725759466656, Max=521.1727099831809, Min=521.0033653220237
MINUTE: Average=521.2709869828234, Max=521.4302887600181, Min=521.0710270544829
MINUTE: Average=521.245581344581, Max=521.3674385726858, Min=521.1546182593228
MINUTE: Average=521.2280370292393, Max=521.3575322717703, Min=521.0989623603497
MINUTE: Average=521.1440178823165, Max=521.2428154400025, Min=521.0547171932594
MINUTE: Average=521.3333179709954, Max=521.4454710539998, Min=521.1555386158583
MINUTE: Average=521.149125561005, Max=521.3199255175734, Min=520.9907499933087
MINUTE: Average=521.3459860004613, Max=521.609695030232, Min=521.0394135356457
MINUTE: Average=521.8078321854032, Max=522.027109864551, Min=521.5849719868843
MINUTE: Average=521.8960489704436, Max=522.0527795841125, Min=521.7757040758272
MINUTE: Average=522.0757263298975, Max=522.1969058296258, Min=521.8675472646303
MINUTE: Average=521.9465850765387, Max=522.1427550585917, Min=521.7741273772903
MINUTE: Average=521.6841355753602, Max=521.9434390777419, Min=521.5261259374136
MINUTE: Average=521.6640127953852, Max=521.7704285546233, Min=521.559530781496
MINUTE: Average=521.8027029292252, Max=521.9357414734077, Min=521.6566306731522
MINUTE: Average=521.7746663276511, Max=521.8579180009073, Min=521.646181209934
MINUTE: Average=521.4326505376353, Max=521.67029500959, Min=521.2090006116567
MINUTE: Average=521.2785048574502, Max=521.3699872438762, Min=521.1801635369409
MINUTE: Average=521.1786653522498, Max=521.2910943242254, Min=520.9324428733205
MINUTE: Average=520.8423590903027, Max=521.0168266414141, Min=520.7023783568425
MINUTE: Average=520.8489229933398, Max=520.9315131577571, Min=520.7097716702638
MINUTE: Average=521.0823285627273, Max=521.3614246133744, Min=520.7516784353572
MINUTE: Average=521.0399868266126, Max=521.2409340720076, Min=520.9301259093758
MINUTE: Average=520.9446777911932, Max=521.1382717285503, Min=520.7901109583305
MINUTE: Average=521.1309085973179, Max=521.2885153881958, Min=520.9826361383588
MINUTE: Average=520.9602445852797, Max=521.1011621471702, Min=520.811466114006
MINUTE: Average=521.0469586298444, Max=521.2365679755113, Min=520.8671595963673
MINUTE: Average=520.8851186179826, Max=521.0211693536626, Min=520.6832074122545
MINUTE: Average=520.831203574757, Max=520.9456652301915, Min=520.7035947078966
MINUTE: Average=520.7682076944959, Max=520.9385282603338, Min=520.6500959654394
MINUTE: Average=520.9354457976386, Max=521.1295641996296, Min=520.7983085645694
MINUTE: Average=521.0656651098845, Max=521.2287954267213, Min=520.8752317151935
MINUTE: Average=521.1437023363901, Max=521.288205024088, Min=521.0072324647101
MINUTE: Average=521.1259625916443, Max=521.3173936825548, Min=520.928356967856
