
MINUTE: Average=103.53597317530499, Max=103.64195698902422, Min=103.4204348652116
MINUTE: Average=103.73940229711543, Max=103.95589594100494, Min=103.5435593375908
MINUTE: Average=104.07755668902175, Max=104.23747495788419, Min=103.86623952976018
MINUTE: Average=104.29085361086567, Max=104.45314657036063, Min=104.09320252655411
MINUTE: Average=104.47492958749025, Max=104.62297526593163, Min=104.32370819905269
MINUTE: Average=104.77621114947095, Max=104.90464393786081, Min=104.58441208606772
MINUTE: Average=104.8234675559508, Max=104.90552425503337, Min=104.7015179491917
MINUTE: Average=104.93008546410786, Max=105.24905279635053, Min=104.69119635002394
MINUTE: Average=104.99510506865145, Max=105.13599345163772, Min=104.89670116787806
MINUTE: Average=104.987720327443, Max=105.07750170463241, Min=104.87294573727645
MINUTE: Average=104.92016143028717, Max=105.12862712921236, Min=104.67937019934266
MINUTE: Average=104.73243521403363, Max=104.86152932489375, Min=104.6354139749427
MINUTE: Average=104.86079354145109, Max=105.00203784762049, Min=104.73281832533833
MINUTE: Average=104.88177512918541, Max=105.01753037803572, Min=104.74431443561647
MINUTE: Average=105.00526762249756, Max=105.08812955659987, Min=104.90474333673484
MINUTE: Average=105.11055726118535, Max=105.30589648226378, Min=104.9756394021941
MINUTE: Average=104.96203520566493, Max=105.10952179252632, Min=104.81067638355456
MINUTE: Average=104.90777160236415, Max=105.27206209905344, Min=104.58218366793496
MINUTE: Average=104.8507161561691, Max=105.05523564622946, Min=104.63277026514473
MINUTE: Average=105.00393957946538, Max=105.07744120312823, Min=104.90429357390181
MINUTE: Average=104.96600952170202, Max=105.09745421939479, Min=104.82700568328539
MINUTE: Average=104.90158928813732, Max=105.10860784155336, Min=104.80790446334089
MINUTE: Average=104.57180586406494, Max=104.90596520653159, Min=104.34346353765763
MINUTE: Average=104.39058933276414, Max=104.47912242792604, Min=104.30128865446949
MINUTE: Average=104.45137356519697, Max=104.58663228243593, Min=104.29029296041072
MINUTE: Average=104.66212997151402, Max=104.90314448389728, Min=104.49962213351394
MINUTE: Average=104.95297394607802, Max=105.10275582274943, Min=104.8047629612896
MINUTE: Average=104.48784266618853, Max=104.78865064030562, Min=104.20286284498641
MINUTE: Average=104.21587700276429, Max=104.35737943057096, Min=104.09276671740061
MINUTE: Average=104.1498390891082, Max=104.30376066727962, Min=104.01446747592512
MINUTE: Average=104.12265462920364, Max=104.2752476817872, Min=103.88498425694178
MINUTE: Average=104.0358180739569, Max=104.26673030730826, Min=103.82655894944848
MINUTE: Average=104.10447565413416, Max=104.32641462643026, Min=103.84716780227025
MINUTE: Average=103.85385830612883, Max=104.14313168120528, Min=103.64846303055727
MINUTE: Average=103.86629226668954, Max=104.1571921948452, Min=103.707072985243
MINUTE: Average=104.03194125976299, Max=104.17271738491368, Min=103.84476930045595
