
MINUTE: Average=11.806574380349748, Max=11.945578583819508, Min=11.674331547320199
MINUTE: Average=11.897952342399998, Max=12.060057291915886, Min=11.738692301066896
MINUTE: Average=11.924612942961096, Max=12.106578648467297, Min=11.768883929417708
MINUTE: Average=12.213779551054108, Max=12.398380642642632, Min=12.087139204840943
MINUTE: Average=12.200799605891, Max=12.307533530833792, Min=12.052960073450409
MINUTE: Average=11.96444415660592, Max=12.22415181165714, Min=11.678663469222299
MINUTE: Average=11.745141388058476, Max=11.901211792956689, Min=11.573775580866474
MINUTE: Average=12.037646018446091, Max=12.189286273386422, Min=11.796343287807098
MINUTE: Average=11.982585882872076, Max=12.144519117517742, Min=11.80774310398675
MINUTE: Average=11.974273225627323, Max=12.13716458485038, Min=11.8261175346086
MINUTE: Average=11.983282432763401, Max=12.10461035506097, Min=11.88310000315944
MINUTE: Average=11.71753404417861, Max=11.92214267092261, Min=11.570144630422638
MINUTE: Average=12.020939992010131, Max=12.189549980190971, Min=11.74156574844017
MINUTE: Average=12.15512030615363, Max=12.24337669737365, Min=12.035370611497282
MINUTE: Average=12.09161691180717, Max=12.34362253608237, Min=11.90521764292509
MINUTE: Average=12.184802224440489, Max=12.417987338384334, Min=12.046423426101006
MINUTE: Average=12.217554632400397, Max=12.386782233125034, Min=12.027942826376156
MINUTE: Average=12.076422450777365, Max=12.248659611124303, Min=11.96442110854539
MINUTE: Average=12.059891749754282, Max=12.138682073825297, Min=11.983918708105024
MINUTE: Average=11.912701421477768, Max=12.083692368814928, Min=11.713634518288284
MINUTE: Average=11.743812161341385, Max=11.900190035139648, Min=11.486385174147692
MINUTE: Average=11.560780807637537, Max=11.70563646628812, Min=11.296691766041086
MINUTE: Average=11.33155539548335, Max=11.45359983067523, Min=11.220352724420549
MINUTE: Average=11.204244893666358, Max=11.288897712333105, Min=11.103039735330455
MINUTE: Average=11.035961545728844, Max=11.207425743748814, Min=10.867626884811985
MINUTE: Average=11.10584625278719, Max=11.291857597407768, Min=10.970186308078468
MINUTE: Average=10.97268391505585, Max=11.137428939736193, Min=10.8114723883532
MINUTE: Average=10.807610475620285, Max=10.906862826415123, Min=10.713211074243821
MINUTE: Average=10.676349754126878, Max=10.860278237116521, Min=10.543643480584207
MINUTE: Average=11.055634974592506, Max=11.257224934180769, Min=10.879195902254866
MINUTE: Average=11.209840462828284, Max=11.3698698376465, Min=11.098198056430075
MINUTE: Average=11.145902305079135, Max=11.259641266077942, Min=11.036521282721347
MINUTE: Average=11.260271217340813, Max=11.349445859538857, Min=11.124558421499357
MINUTE: Average=11.159412093535527, Max=11.270475090691289, Min=11.044984267769983
MINUTE: Average=11.236948814533697, Max=11.362926627525589, Min=11.038852500973913
MINUTE: Average=10.991164036115737, Max=11.177994363340268, Min=10.796827623406129
MINUTE: Average=10.925020480371323, Max=11.054635313895561, Min=10.821381334153907
MINUTE: Average=10.947018636221319, Max=11.068574383007231, Min=10.824623435422396
MINUTE: Average=11.292061067676805, Max=11.531183947881257, Min=10.967023058641088
MINUTE: Average=11.343409795950802, Max=11.482070462773104, Min=11.22661643982682
MINUTE: Average=11.325865061169203, Max=11.47622690703334, Min=11.18421631481973
MINUTE: Average=11.433266926854973, Max=11.55031236906908, Min=11.310262335044424
MINUTE: Average=11.694231563550412, Max=11.880157591515651, Min=11.522784572043994
MINUTE: Average=11.823088748026064, Max=11.937621692750211, Min=11.683692938479306
MINUTE: Average=11.824130009281731, Max=11.979295351958415, Min=11.70954815047631
MINUTE: Average=11.770879358281968, Max=11.94088102077178, Min=11.582757152897935
MINUTE: Average=11.728023996343271, Max=11.93359988626479, Min=11.581060896860512
MINUTE: Average=11.728863819190149, Max=11.856593502003513, Min=11.567369137751959
MINUTE: Average=11.832550246474815, Max=12.001814542315946, Min=11.708334703150209
